Leader Name	Nation Name	Alliance	Score
Shadow Hawk	Terre Neuve	Ming Empire	2,884.16
Adam Triplett	Confederate states of merica	None	579.86
bw55555	Hello World	The Knights Radiant	1,222.50
Antigon	Heraclea	The Ampersand	2,726.77
Bongtoicious	Hemporia	None	1,160.55
Vandal de Macedon	New Macedonia	None	790.77
Kyubnyan	Cyberia	The Knights Radiant	3,215.00
Rosa Cossette Elise	Belka	None	161.25
Kaycoro	NewGermany	The Sith Empire	1,156.73
Strife	Discordia	The Knights Radiant	3,426.25
Iwan	Moscowia	Knights Templar	1,552.08
Jasten	Dremon	None	1,087.89
Lihul	TNOL	Typhon	1,197.50
Nausite	cote canadienne	Guardian	2,930.00
Teri	Burnopolise	Deathly Hallows	3,343.35
Kevin	kevland	The Immortals	2,237.00
Mateus	Santa Cruz	Ming Empire	3,744.00
Big Brother	Oceania	The Syndicate	4,191.25
Waffle	Waffleland	None	1,041.24
Zulqarnain	Zyphorious	Arrgh	1,757.91
Monkey D Luffy	One Piece	The Syndicate	4,343.00
Mario Moreno Bernat	Verduras	The Fighting Pacifists	2,698.08
Dark	Wondeval	Deathly Hallows	1,740.20
Reuben	Kingdom Of Reubenites	The Commonwealth	2,590.00
Kyosti Rihiijarvi	Suomi-Rossija	Solar Knights	3,019.49
Mitsuru	Fuyushima	Banana Stand	3,832.50
Aelfred	Westseaxna Rice	None	758.13
Triton	Damoscene	Respublica Romana	7,527.50
Aurora	Ottoman	None	1,040.00
Tamasith	Bear Island	Carthago	3,792.50
Qassem	Trialas	Typhon	803.56
Horsecock	Cocania	Knights Templar	2,191.70
Kyle	Newfound	None	1,228.79
Vito	Impewreth	The Enlightenment	1,042.00
MCMaster-095	Kerbania	Seven Kingdoms	2,565.00
Captain Winters	An Mhi	Respublica Romana	6,519.72
Juha Bach	Wandenreich	Guardian	2,560.00
Explorer	Explorerland	The Knights Radiant	2,739.00
Horse	Republic of Lakotah	Ming Empire	2,510.44
Rook	United States Of Americans	World Task Force	5,760.00
Agedwizard	Flora	Camelot	3,010.00
Accardi	Ostlyn	None	441.59
WetPatootie	Swiftland	House Stark	2,372.99
Valentin Caesar	Crimesusistan	Horsemen	2,063.38
Bobert	Illusha	Order of the White Rose	4,077.50
Azazel	Fourth Circle of Hell	Camelot	4,855.00
Charlie Traveler	Soup Kitchen	The Enlightenment	2,485.00
max ov sghkobledonia	Sghkobledonia	Ming Empire	2,710.00
Atago	KanColle	None	1,965.34
Kotori Itsuka	The New Equisian Federation	The United Empire of ZahAharon	2,186.49
Curtis III	Devonia	The United Empire of ZahAharon	1,011.53
FinnSum	The Second Georgian Republic	None	425.24
Alexander Siberia	Northern Empire	House Stark	999.88
Kiloist II	Celtic Empire of S America	The Ampersand	2,728.00
Esthaevys	United Athyae Federation	The Knights Radiant	2,760.00
Macky g	Redsville	Strickland Propane	2,640.00
Alan Hahn	Appalachian Peoples Republic	Schrute Farms	3,401.25
Jane Rose-Duval	Rose Kingdom	Polaris	1,668.31
Laffopuritain	Collonisia	The Knights Radiant	3,077.50
Sudaking	Hispania	Order of the White Rose	2,415.52
Nisipeanu	Valahia	The Fighting Pacifists	2,779.00
Louis XX	USSR II	The Syndicate	3,483.28
Tubblez	Yjerialen	None	2,065.42
Maximous	Panther	House Stark	1,551.38
Ainz_Ooal_Gown	Magnicia	Nazarick Vault	4,611.25
Trolled	Cicero	Dark Brotherhood	3,101.45
MikeDred	Philippines	The Syndicate	2,940.00
Spectre	Kurdish Empire	The Enlightenment	1,905.00
Dumb	Dumberia	Morningstar	2,351.25
HaxBaba	Ottomans	Schrute Farms	2,940.33
Piotrhabera	Ekonion	Typhon	666.64
Hakurei	The Republic of Gensokyo	Weebunism	1,843.65
Steampunkangel	The Redfederation	None	1,211.56
Andra	Indonesia	The Syndicate	3,331.25
Bagpuss	Hantuchova Land	Rose	2,985.00
Imari Thomas	Federation of States	United Purple Nations	2,544.50
Stranzvlad Venadus	Empire of Europe	Polaris	2,130.02
Strantro	Arisadeya	The Center Of Offbeat Powers	709.95
Gust	RSS de Bolivia	Carthago	1,628.40
Joshua Limpkin	Austatania	The Knights Radiant	2,420.00
Emanuel	Novum imperium romanum	Golden Phoenix Coalition	2,265.00
romax	romaxland	Why cant we be friends	3,768.80
Zexz	Freelandia	None	830.34
el jay leen 2	Chanxi	None	1,020.20
Erloustan	Skaal	None	562.39
Necron	Necrontyr	None	1,531.26
Toki Wartooth	Kirigakure	None	382.94
Tomix	Tomixia	Ming Empire	4,026.25
Bill English	Aotearoa	The Federation	3,139.48
Warrick	Petrun	Respublica Romana	6,375.00
Nicholas YBarbo	Commonwealth Realm	Polaris	800.17
HorusLoyalist	Eye of Terror	The Void Touched	2,740.00
SeaBeeGipson	Denton	None	1,114.52
First Serpentine	New Babylon	Strickland Propane	2,910.00
AnwarJ	United AJ states	Respublica Romana	3,282.00
Kitkat	Reaper	Dark Brotherhood	1,492.12
Mad Max	Copperlandia	Atlas Technologies	2,610.00
Shmurda	Slavistan	Camelot	2,484.70
MR_Red	The great Gloden Red Empire	Typhon	1,450.50
Inferno345	Gerarvania	The Immortals	259.03
King William	Kingdom Of Britain	Dark Brotherhood	3,236.16
Ralph Alexander I	Anzuria	Rose	1,973.00
Messi	Ikstova	Camelot	2,520.00
Forethought	Dabsion	Camelot	2,985.00
Apostle of Justice	Nirvana	The Ampersand	939.47
Mac	Sarawak	Horsemen	4,890.00
Doctor Doobie	Obestaki	Respublica Romana	2,732.83
Furious	USSI	Solar Knights	2,023.36
Thantos	Smallpoxia	None	1,607.83
Big Papa	United States of Slammer	None	750.24
kim88888888836577	axis	Ming Empire	1,241.02
yoy	login watson zeal field	None	70.43
William Wilson II	City of London	The Int Defense and Economic Alliance	937.87
Rugby	Diggersphere	Mitre	973.73
Dane Hunter	Hunterston	Blackfyre	1,207.47
Chodefloss	Hotlanta	Horsemen	4,680.93
Zeannon	Vertra	Carthago	2,071.00
Lord Warkhan	Pan Arcadia	The Commonwealth	2,574.12
Sentinel Prime	Seraph Kingdom	Arrgh	1,746.05
Qsar	Imbratoria	Polaris	2,829.75
Kingsley Amah	United States of Medford	None	1,079.36
George Goeb	Volknational	Morningstar	3,843.17
John Silva	Islands of Sao Paulo	Carthago	1,906.00
Filipe I of Portugal	Iberian Union	Seven Kingdoms	2,675.00
Yolo	Adder	None	70.31
Haris the Guy	Blumr	The Commonwealth	3,940.00
Georgius Maximus	New Eastern Roman Empire	Camelot	3,175.00
Shinano Hakuryu	Republic of Yokosuka	United Alliance for Freedom	166.66
Goodoboy	Lexington	Camelot	2,710.00
Micheal Evans	Londonistan	Camelot	1,665.51
MDK	Freehold of America	Seven Kingdoms	933.59
Whisper	Fox Den	Okay but what	1,586.55
Har1s	Pewdiepie	The Commonwealth	2,317.00
Leftbehind	Shilo	The Enlightenment	2,535.00
Razar Grey	Heroline	None	482.19
Robert Bruce	Highlandia	Caledonia	463.78
DrRockso	Wamab	Order of the White Rose	311.91
Mortheus Valixor	Ravenfield	United Purple Nations	2,503.50
Mhearl24	Mesun	Rose	3,196.50
Diplomat	The Void	Orange Defense Network	1,332.59
George Hunt	Huntesque	None	629.01
George Patton	Pattongrad	Camelot	1,868.58
KHILAFA ISLAMYAH	Name Change	Schrute Farms	2,937.52
William	Good	None	930.04
Cataduanes	London Free State	None	802.54
Hans Poelkamp	Provoland	Yakuza	2,935.00
Kusler XIII	Imperium Generis Humanii	Carthago	2,060.82
Michel Hoppe	Huels	Dreibund	1,111.38
Evlar	Evlamican Empire	Camelot	2,867.00
Stephen cromedy	Usa of black power	League of Democratic Nations	1,091.66
Apharion	The Empire of Cavicchio	None	411.49
No neck casey	Coderania	None	368.03
Mosheh Aharon	Spartakusland	None	53.03
Voklius	Amacuro	Goon Squad	1,938.02
Azrael	Meranthe	Carthago	5,012.50
Cameron Axley	The Independent Clans of Sco	United Purple Nations	2,510.21
amid bin al rasheed	united states of suck	United Purple Nations	2,609.00
Dwynn	Duskhorn	None	1,040.68
Godwinson	The United Sovereignty	The Commonwealth	3,412.50
Asparuh	The Great Bulgarian Empire	None	1,244.63
masteraka	Europe	None	1,100.30
Parrish	United Papalian States	Umbrella Corporation	2,113.48
Manuito	Gizmapolis	None	1,721.62
Jack Harkness	Havork	Camelot	1,024.06
Yassir Hussein	Iraq	The Knights Radiant	1,955.00
Nikhelobultra	The Ukraine Corporation	None	2,008.12
NightKnight	Capitalist States	The Enterprise	4,770.00
Dyrrachas	New Hellas	Guardian	1,113.65
Zame012	United States Emirates	None	1,026.55
Forseti92	NESU	Camelot	2,724.00
Elliot Locke	Rostland	Horsemen	2,334.47
Richard II	Lunzania	Orange Defense Network	2,597.00
Dovbush	Opryshky	Ming Empire	3,412.31
Kru	USMSpaceCorps	Federation of Commerce States	2,187.09
Michael I	Libertea	The Enterprise	1,042.62
Stoneshield	Stoneshield	TheNorthWesternSouthRegionofthefarEast	1,057.12
El Jefe	The Ducky Duck Ducks	None	1,437.00
Slainne	Silvereignz	Arrgh	818.51
Christopher kent	Copper	Central Imperial Union	324.82
El_Barto666	Babylonia	Arrgh	1,128.43
Velium	Koyalti	Carthago	2,660.00
Kitsune	Hessen	Rose	2,492.50
Soyti	Soyix	Rose	3,360.00
Al Fappino	Imperial Union	Carthago	2,472.16
element	The Milky Way	Church Of Atom	2,531.42
Katachai	Xascon	Knights Templar	1,650.56
Arthurgp	Glug	Horsemen	4,489.95
tvrtko	Veliki Bosanski Kalifat	The Hanseatic League	1,383.82
Jim Bridger	Northern United States	Pantheon	1,544.98
Joe Glenn	United Christian Republic	Riad NWO	376.49
RexT	Lightdawn	The Syndicate	3,652.55
Raiden Baker	United Imperialist of Japan	Solar Knights	2,177.50
Simpleton	Dullard	Arrgh	1,585.22
Ian Reitmayer	Icea	None	300.08
David Rozay	Rozaria	Polaris	2,212.10
Iroholn	Serenissima	None	1,870.12
Comrade Hamilcar	Aragoth	Advanced Syndicalist Mechanics	3,110.00
Lithius	Ignus	House Stark	1,578.00
Sir Greggory	Quigley	The Regiment	1,982.18
Spongebob	Bikini Bottom	Solar Knights	1,222.47
Isjaki	31st Bay	The Fighting Pacifists	2,267.41
Saren Arterius	Austeria	The Enlightenment	1,149.01
Abigor	Monica Republic	The Enlightenment	0.25
Deulos	Opros	Arrgh	1,470.28
Carla	United Chinese Front	The Global Union	676.36
Amand Kosh	The American Federation	Acadia	807.68
KirbyLeader	KirbyVille	None	920.22
Viktor Wolf	Diamond Security Forces	None	351.04
Talus	Terranigma	The Knights Radiant	2,740.00
Tenebris	Aeternis	The Commonwealth	726.04
Tajikee	People Republic of Dobbistan	None	223.46
Atlan	Independence union	The Lost Empire	2,630.00
Germania	Imperial Empire of Germania	The Regiment	2,680.00
Jodi	Stobb	The Commonwealth	3,465.00
Red Bull	Titokia	Acadia	1,244.93
Erwin Patton	Currituck Empire	The Regiment	1,204.55
Dusty	Legion of Lions	North Point	4,357.50
vedacool	Brightford	Polaris	2,238.00
Dwarf King	Dwarf Monarchy	None	1,044.06
Nixon	Blusania	The Ampersand	2,544.00
Jones1	New America	Orange Defense Network	2,293.80
Richard Ritan	Ragnorock	Polaris	1,279.83
Force	Atlantis	None	1,160.00
Saito Garuwashi	Ceura	Order of the White Rose	2,691.00
BlackBeard	Old Brittannic	Mythic	3,762.67
Caspian XII	Asgardia	Mythic	1,516.02
Nova Romae	Death Korps of Krieg	The Regiment	1,153.60
Night	Canadia	None	1,352.00
Harry Flashman	Pax Brittanica	The Fighting Pacifists	4,654.00
Biomatrix2012	Aeothoe	None	633.14
John Alexander	Appalachia	Acadia	804.16
Anastacia Lorenos	Orlivia	Guardian	2,779.50
Joseph V Stalin	Modern Soviet Union	League of Assassins	2,725.00
Werwolf	New Germany	League of Assassins	1,008.95
Isabel Kruger	Cascadia	None	620.77
Master Who	New Gallifrey	None	978.59
Shadab	Republic India	None	420.24
CitrusK	The Group of Orange	Camelot	2,986.50
Kung Shake Sao	Zapote	The Enlightenment	2,327.52
Babosa	Nuggier	The Commonwealth	2,326.85
ThineHolySaint	Italian Republic	Knights Templar	1,241.44
Hessenberger	Eureka	None	224.50
Lucifer Morningstar	Aelion	The Ampersand	2,551.60
Eomaster	New York Republic	The Fighting Pacifists	2,125.00
Patakos	Greece GR	The Commonwealth	2,510.00
Hadres	Solodite	None	967.58
Alexandre Emmerton	USNAR	Yakuza	3,266.25
Comrade boris	Capitalist land	Empyrea	1,636.50
Biggums	Silmarillion	None	300.69
Tristin Bzakvakk	Checoveich	None	996.40
Jessica	Free Don	Typhon	915.06
Adecker100	United Trade Union	The Global Union	1,550.08
Charles The 8th	Novoland	None	362.67
Gamal Abdel Nasser	United Arab Republic	None	1,006.53
Trill	Jireh Nation	Socialist Hellenic League	182.50
Master Antony	GRECIA	Terminus Est	5,889.00
Hunter Thompson	Owl farm	None	1,236.10
Erold Yerkin	Yerkinland	None	945.36
Grand Master	United Assembly of Freedom	None	300.00
Jack Williams	Nova Australis	Order of the White Rose	1,731.14
TaunTaun	Roma Oklahoma	None	250.00
Lucius Madden	Navia Imperiala	Rose	2,306.04
Utmos	Merentha	The Syndicate	3,741.48
Alexandros o Megas	Makedonia	Grumpy Old Bastards	4,952.00
Kosta	Rhodes	The Federation	4,626.00
Carolus	Nordic Society	United Socialist Nations	2,301.05
David Sharoshev	The Redlands	None	650.57
Ukunaka	Aniyvnwiya	The Empire of the Moonlit Sakura	1,341.62
Sauce Master	Urasaturn	Camelot	2,845.00
Zyenia	Districts Of Ardria	The Fighting Pacifists	3,962.50
Melee Kerman	Gregicstan	None	653.43
Lum	Lumicstan	None	651.56
lance armstrong	sklandia	Camelot	1,134.45
Lucas Sousa	Republican State of Brazil	None	331.36
Jake Grbavac	Confederation of Slavs	None	328.44
Khronox	Odinheim	The Federation	4,023.00
Norris Aznable	Principality of Odin	Typhon	1,474.40
RagDoll666	50 shades of green	The Ampersand	2,374.22
Wolfy	Wolfden	Schrute Farms	2,742.50
bulbasaursucks	National Workers Union	Order of the White Rose	2,904.95
Malcolm	Eshladtown	The Commonwealth	2,660.00
Sean289	Malestedo	None	430.97
Ns38	United States of Divison	None	908.13
Drakus	Reformed Egypt	Solar Knights	1,153.81
R E A L	Der-Elppa	The Fighting Pacifists	4,712.50
Alrea	Alrea	None	1,032.35
Sir Oliver	Ollyland	The Lost Empire	3,184.00
William III	Dutch Republic	Pantheon	1,043.47
Arnold Schwarznegger	Bear Reich	Si Hong	1,599.44
Max J Pouzdana	Schwertortland	Solar Knights	721.62
Jamiee	The Peoples Republic of	The Commonwealth	1,931.20
John McLaughlin	Oregon	None	70.82
Runiril Valathas	Karthspire	The Commonwealth	1,537.75
Napoleon Bonaparte	The French republic	Yakuza	1,739.38
Gurkas	Nepal	Order of the White Rose	732.97
ProDabber	Wolfarnia	CLOVER KINGDOM	1,849.55
Captain Parrish	Waterland	Ming Empire	2,605.00
Hans Von Manstein	Order of the Iron Cross	The Ampersand	934.71
The End Of The Line	The Holy Kenny	The Lost Empire	1,935.00
MCScout	Inertia	The Enlightenment	2,915.00
Parabellum	Republic of Hyperborea	Knights Templar	1,349.15
ATgames	ATnation	United Earth	342.79
Teddy_Roosevelt	Sagamore	None	562.71
Silas Granger	Calvanea	The Federation	804.00
Michael Frederick	united german states of amer	The Immortals	1,200.66
Duncan Leshiro	Salizar	Typhon	2,336.23
Myron Miller	wayida	The Immortals	514.67
Imran Khan	United Pakistan	Camelot	1,389.53
Heart	The Highlanders	The Federation	2,314.86
Bilbup	Dormamu	None	857.59
Wulfric	Zylerland	None	464.81
Reymundo	Empire of Massachusetts	The Lost Empire	1,768.03
Charles Benedict III	Turdistein	None	1,227.24
Wummy_Yodder	Yoddera	The Knights Radiant	1,411.87
Aether	Rift	Chocolate Castle	2,330.00
Doofenshmirtz	doofenshmirtz evil inc	The Last Alliance of Elves and Men	0.00
Sir Carlo	Collosum	The United Armies	2,196.40
Beidatsch	The Kingdom of New Prussia	The United Armies	3,121.50
Wilford Vanbuf	The Republic of Saclua	World Task Force	2,078.49
Ashpiv	Bannock	Horsemen	4,021.81
Goaty mcgoatface	Keksville	None	839.71
Antonio	City State of Bristol	Carthago	2,247.50
Uriah the Fox	Nova Riata	Camelot	3,310.00
DWB	New Lunar Republic	Typhon	1,110.00
Fred Flintstone	Bedrock	Empyrea	846.07
zNine	NineState	None	640.02
Columbus Griffin	Dynamite	Knights Templar	1,245.00
Cecilian Layor	Whyte Isles	The Immortals	3,270.00
Gunther	Weensland	None	1,404.59
Hito Mekishiko	Weeaboolandia	Empyrea	726.34
Baguette	Bagistan	None	322.33
ElRego	Chad	Aurora	2,332.50
Darrius	Oritannia	None	507.97
Ameek	Grewalia	The Illuminati	517.30
Siegfred the Free	Freemen	Camelot	2,880.00
Gir	My Nation	None	0.25
StoopidLittleBerlin	Galactic Republic	The Knights Radiant	578.89
Mark	Britannia	The Knights Radiant	2,895.00
Kim-Sung-Jung	Logang	None	695.64
Duke	Duke Empire	None	646.29
Khalamanthus Selsion	Straharat	The Enterprise	634.00
Aries	Ecolance	Camelot	1,401.93
Mojo Jojo	Earth Recolonisation Program	The Ampersand	1,016.69
James Hutton	Igneous	Horsemen	3,523.50
Tovarisch Fabio	Republic of the People	None	941.08
Randbeforetime	Falkreath	Aurora	2,370.00
Lisa	hyperaktiveness	The Organization For Criminal Activity	557.32
Helmti Tulormush	Tulormush	The Commonwealth	1,529.50
Vrael	Onyx	Arrgh	1,760.46
Miyamoto Musashi	Feudal Japan	Carthago	2,081.00
Nergia	Naterian	None	365.25
Jinse Qishi	Long Guo	Empyrea	870.44
Sargun	Valentia	The Knights Radiant	1,895.00
Yami Vi Britannia	BRlTANNIA	Terminus Est	5,232.00
Stevie	Dictatorship of Kekistan	None	572.95
Amli bb	Leucemia	Pantheon	2,174.30
Terraptera	TerraPter	None	182.59
Safan Amari	Saruhan	Electric Space	382.47
Jedidiah	Icleria	The Ampersand	2,680.50
Sarada Uchiha	BlackCat	Akatsuki	2,525.45
Ryan I	Republic Of Rumalia	The Lost Empire	2,163.50
Muammar Abu Gaddafi	Libya	None	1,838.62
Fredrick-Cake I	CakeLand	None	625.57
Lord Sapphire	Xao fu	Camelot	1,331.69
Dingaling	Stunsia	None	395.10
Bashedupmash	Lambda	None	1,420.26
TChalla	EZIC Star	Federation of Commerce States	1,423.97
Ares Daniel	Exousia Empire	The Ampersand	1,699.87
Moody	Moody	None	58.56
Lil Ant	Antidel	None	629.81
Richtofen Marshall	Atlantisian	Empyrea	666.64
Michael K Ultra	Lacedaemonia	The Regiment	2,310.41
Jake Nikolai	Minerva	Rose	1,601.02
Vladimir Putin CDXX	USSR Federation	None	251.79
Ivan Chernobsky	Chovnovsky	None	528.76
Weed	Arpen Kingdom	None	850.01
Jac	Gadolinia	The Ampersand	2,395.00
Orman	Skylia	IronFront	2,947.24
Pericles	Attica	The Commonwealth	4,027.50
Dalinar Kholin	The Siberian empire	Polaris	870.06
Zardlin	Zardlinium	None	1,283.65
Heinrich Kaiser	German Union	Teutonic Order	3,176.35
Bimk	Eisenherz	The Ampersand	2,493.37
Phil Swift The Great	republica de oro	The Regiment	1,284.69
Nikolas Wilhelm I	Slavoheins	Aurora	2,462.50
Destroyer of Worlds	Thermonuclear	None	1,129.87
the loan star	reunited states of texas	Demacia	1,371.78
Otto Von Mackensen	czechoslovakia	None	430.81
tig567899	country12348	None	682.74
Justin Kim	Lotharien	The Ivy League	300.28
STW	Snowland	SAIGA	1,140.65
GoldyHammer	Communist Pirate Republic	The Knights Radiant	4,045.00
Lonkus	Dexters Diner	Polaris	1,685.09
Daniel Lyons	Poland and Lithuania	Pantheon	1,878.89
Karl Jonas the 2nd	Karlsburg	The Imperium	210.50
Francoise Valliere	Tristain	None	1,224.88
Kokeen	Dank Empire	The Federation	1,714.71
Sebastian Kam	Republic of Ching Ho	The Int Defense and Economic Alliance	784.71
Bdizzle	BdizzleNation	None	635.51
Zues	Excalibur	North Point	2,043.20
Asgardian23	Narwhalia	None	639.14
ThommyZero	Cavendish	Typhon	1,692.50
CTB98	Welsh Empire	The Immortals	2,541.50
Cyloch	Nazgul	The United Armies	1,377.18
Nicholas	Midvale	Orange Defense Network	1,643.57
Hung Wai Nei	Mongwoland	None	1,082.65
eggplant1	england is my city	Schrute Farms	2,606.00
Chidgrat	The Hermannic Empire	Order of the White Rose	1,884.12
Sozin	The Fire Nation	Order of the White Rose	3,500.00
Sir Bressler	New England Commonwealth	Ming Empire	3,013.75
Tom Riddle	Imperial Balkania	IronFront	2,902.34
Jimmy Rustles	New Jefferson	Church Of Atom	3,017.61
kalidound	yoff	None	369.79
Adam Zaytsev	The New Communist republic	None	862.65
Grapaz	Lestioal	Central Imperial Union	920.17
Jason Forestmann	Aincrad	None	454.10
JTK	Kingdom of Dorama	Horsemen	4,186.61
Kevin Li	SK Telecom T1	Camelot	2,970.00
Trayvon	Vooperia	None	571.05
Alucard De Tepes	United Kingdom of Elerios	None	557.13
Fairymoon	Ashines	North Point	3,052.50
Waldo	Waldrovia	Carthago	1,977.50
Rewan Demontay	Panagouge	CLOVER KINGDOM	1,949.83
GeneralJon	Fortuna	Dark Brotherhood	3,212.00
Yuri B Molotov	American Peoples Republic	Carthago	2,108.90
Bleakea	bleakania	Weebunism	450.15
Mohammad Khatta	Umbara	Typhon	2,296.68
Activitus Asiatisius	Roman	None	121.27
Batavus	Fellowship of the Ring	The Syndicate	4,895.00
Sam the Gorthaur	Azok-zhubar	The Ampersand	1,740.00
Mew	Terabithia	The Fighting Pacifists	1,528.24
Bhlack Bishop	Mumbleton	None	913.60
Daddy D Trump	Not a clue	Solar Knights	2,428.00
Otto Von Bismarck II	Greater German Reich	None	273.08
TAll	Tallplace	Farkistan	3,106.25
the Rising Sun	Fire Nation	Carthago	1,748.00
Borealis Norsoutha	Novaya	Aurora	1,067.93
Roku	Adobo Republic	None	1,547.86
Jan Orwell	Central Oceania	None	1,858.75
Kim Jong Un IV	North Korea IIIV	The Knights Radiant	1,575.55
Sholman	Sholvitas	The Knights Radiant	1,030.48
Barbarossa	Gengaria	Knights Templar	1,460.65
Vladivostok	Ckacikia	None	458.45
Papyrus	New Home	Pantheon	1,368.10
Spanishhalloumi	Andrasia	The Syndicate	3,076.82
Blur_S	Rofrancia	None	1,188.95
Ruffstorm	Legacy United	SHIELD	462.38
Natetrix	Westria	The Blitzers	172.88
Ayo	Wavey	Morningstar	2,069.02
Six	In Oriente Primus	The Ampersand	2,452.57
Cooper	Cooperia	The Knights Radiant	2,436.00
Agathor	Terok Nor	The Commonwealth	2,413.75
Mads	The Danish Realm	The Syndicate	3,015.00
Dalton Montgomery	Hibernia	The Fighting Pacifists	2,971.43
Fee1s	United demorcratic sates	Camelot	2,560.00
James Sanders	The New Texas Republic	United Purple Nations	396.82
Rocco Lima	American Alliance Republic	Schrute Farms	2,297.50
Princess Seshat	Celestial Armada	The Empire of the Moonlit Sakura	1,452.54
Kebsla	Grivonia	The Knights Radiant	2,080.50
Ravindhu	Communist State of Asia	United Socialist Nations	2,662.00
The Feline	Felinea	None	503.48
Belisarius Cawl	Holy Mars	The Commonwealth	2,147.50
Farouk Bahadur	Kachekastan	None	2.75
F E Llar	Great Londonistan	None	72.50
YAOI	Yangzai	None	772.34
Coco Butter	Brain Tumors	Polaris	2,268.62
Lil Jon	Picktonia	None	480.21
Gordon Ramsey	Kangaroo Land	None	1,052.06
Demitrislav	United Motherland Federation	None	474.41
Milk Man	Tyzakhstan	The Immortals	1,602.23
CCrawly	Autumn	None	585.82
Wolf Soulrider	The Empire Of Justice	The Syndicate	1,093.21
Miller	High Life	The Knights Radiant	2,836.89
PDunny	Udrya	Mehh	554.07
Umaru-Chan	Eloi Empire	Morningstar	2,506.00
Cuddle Wishes	Souvlakistan	None	1,110.94
Mike Schneider	Etats Unis dAmerique	Farmville	983.94
